as a result	結果として
cut down on	を切り詰める、節約する
fossil fuel	化石燃料
ban	を禁止する／禁止
plastic bag	ビニール袋
harm	害／を害する
unbelievable	信じられない
innocent	罪のない、無罪の
arrogant	傲慢な、横柄な
harbor	港
temper	気性、かんしゃく
legend	伝説、言い伝え
fairly	かなり、公平に
vague	漠然とした、あいまいな
harvest	収穫／を収穫する
assistance	支援、手伝い
conflict	対立、争い
planet	惑星
ruin	を台無しにする、破滅する／破滅
launch	発売する、船をおろす
withdraw	を撤回する、引き下がる／引き出す
refuse	を拒否する、拒む
embrace	を抱きしめる、を抱擁する
overtake	追い越す
restrict	を制限する、を限定する
instruction	指示、指導
stock	株、在庫／を在庫に持つ
competitor	競合他社、競争相手
spectator	観客、見物人
explorer	冒険者、探検家
be filled with	で満たされている
due to	が原因で
remind of	を思い出させる
concentrate on	に集中する
laugh at	を見て笑う
well off	裕福な
straight on	まっすぐに
far off	はるかかなたの
equal	同等、等しい
drop off	落ちる、落とす
leave out	除外する、取り除く
the other	もう一方の
solve	を解決する
be concerned with	に関係している
childhood	子供時代
sustainable	存続可能な
leftover	残り物、食べ残し
at most	多くとも、せいぜい
because of	～のために
hundreds of	何百もの
efficiency	効率、能率
arrangement	配置、配列
treat	を扱う、待遇する
muscle	筋肉
aspect	局面、側面、表情
content	中身、内容、目次
prescription	処方、処方箋
anxious	心配して、不安な
ancient	古代の、大昔の
generously	惜しみなく、気前よく
literature	文学
do well	うまくやる
deadline	締め切り、期限
exception	例外
temporarily	一時的に、仮に
provide A with B	AにBを提供する
fund	基金、資金
in the long run	長い目で見れば、長期間に
accomplish	を成し遂げる、完成する
introduce	紹介する
overlap	重ねる
identify	を見分ける
collaboration	共同、共作、協力
detective	探偵、刑事
democracy	民主主義
modify	を変更する、を修正する
stir	をかき混ぜる
roll	転がる
orbit	軌道
frequently	頻繁に
emotionally	感情的に
evaluate	評価する、見積もる
defend	を守る、保護する
district	地域
purpose	目的、目標
prayer	祈り、礼拝
prospect	見込み、眺め
victim	犠牲者
distant	遠く離れた
various	様々な
visible	目に見える
wrap	を包む、巻きつける
dig	を掘る
drop by	ちょっと立ち寄る
take over	を引き継ぐ
angle	角度
payment	支払い
look into	を調べる
in practice	実際には
on schedule	予定通りに
once	かつて、1度
in fact	実際には
publisher	出版社
look forward to	～を楽しみにする
dizzy	めまいがする、ふらふらする
as though	まるで、あたかも
be pleased with	を喜ぶ
postpone	を延期する
justify	正当化する
fulfill	満たす
influence	影響／影響を及ぼす
capacity	容量
continent	大陸
industry	産業
surface	表面、水面
doubtfully	疑わしく
permanently	恒久的に、永久に
sensitive	敏感な
peaceful	平和な
medical	医学の
critics	評論家
explorers	探検家
obstacle	障害
admit	を認める、入ることを許す
react	反応する
succeed	成功する
disappear	消える、見えなくなる
take A for granted	Aを当然のことと思う
be familiar with	に馴染みがある
beyond	～を越えたところに
run away	逃げ去る
pass out	気絶する
think over	熟考する、よく考える
put away	片付ける、整理する
believe in	を信じる
calm down	落ち着く
what is worse	さらに悪いことには
observe	を観察する
participant	参加者
react to	に反応する、受け止める
at first	最初は
tight	狭い、締まった
be known for	で知られている
social	社会の
jealously	嫉妬深く
reliable	信頼性のある、あてになる
stable	安定した
transport	を輸送する
in other words	言い換えれば
associated with	と関連した、紐づいた
to start with	まず第一に、初めに
first of all	まず第一に
congratulations on	に対するお祝い、祝福
precious	貴重な、大切な
specialize in	に特化する、専門とする
vaccine	ワクチン
neverthless	にも関わらず
illness	病気
for free	無料で
checkup	健康診断、照合
temperature	温度、気温
health insurance	健康保険
memory loss	記憶喪失、記憶消失
inconvenience	不便、不自由
unusually	異常に、めったにないほど
take part in	に参加する
determine	を決める
be considered to	と見なされる
amount to	成る、達する
in some way	何らかの方法で
be connected to	に接続する
be involved in	に関与する
genetically	遺伝的に
diet	食事、食事療法
be made from	から作られる、を原料とする
major	専攻科目
sign	標識、印、合図
be threatened to	に脅かされる
progress	進歩、前進
with luck	運が良ければ
offensive	攻撃的な、無礼な
abrupt	突然の、不意の
familiar	見慣れた、よく知られた
distributor	卸売業者
publicity	宣伝、周知のこと
separation	分離
reuse	を再利用する、再使用する
strike	叩く、打つ
protest	抗議する、主張する
illustrate	を説明する、を例示する
voluntarily	自発的に、自ら進んで
consciously	意識的に、故意に
approximately	約、おおよそ
peacefully	平和的に、穏やかに
burden	負担、重荷
whistle	口笛を吹く
voyage	航海、航行
envy	妬み、羨望
exaggerate	を誇張する、大げさに言う
refer to	を参照する、参考にする
speaking of	と言えば
wait for	を待つ
in trouble	困った状況にある
at best	せいぜい、良くとも
except for	を除いては
matter	問題、困ったこと
in effect	効果のある、効いている
in fashion	流行っている、流行している
on demand	要求に応じて
individual	個人の、個々の
as well	同様に、その上
transportation	交通、輸送
in general	一般的に、普通
smell	においがする
recognize	承認する、はっきりと知る
get rid of	を取り除く
treatment	扱い、処理
expired	期限切れの、契約の切れた
fee	料金、手数料
current	現在の、現行の
renew	を更新する、新しくする
from now on	これから先も
attach to	に添える、に取り付ける
fill out	書き込む
unexpected	意外な、突然の
economic	経済の
breath	息、呼吸
carbon dioxide	二酸化炭素
humidity	湿度、湿気
on duty	勤務時間中で、当番の
in case	万一に備えて
gradually	次第に、だんだんに
ceiling	天井
out of use	すたれて、使用できない
sculpture	彫刻
exact	ちょうど、正確な
between A and B	AとBの間
produce	生産する、作り出す
even though	～だけれども、～であるのに
warm	暖かい、温暖な
inside	中身、内部
ill	病気で、気分の悪い
out of place	場違いで
research	研究／研究する
relative	相対的な、比較上の、親戚
poison	毒
completely	完全に、全く
be effective at	で効果的である
absorb	を吸収する
feed	餌を与える、育てる
effective	効果的な
container	容器
thanks to	のおかげで
on the run	逃げて、奔走して
dedicate	に専念する、奉納する
abandon	を捨て去る
amuse	楽しませる
range	範囲、幅
sphere	球、球体
revenge	に復讐する／復讐
popularity	人気、流行
suspicious	疑わしい、怪しい
delicate	繊細な、きめ細かい
welfare	福祉、幸福
border	国境
habit	習慣
interrupt	割り込む、中断する
persuade	を説得する
examine	を検査する
leisurely	のんびりした、気の長い
bravely	勇敢に、りっぱに
relatively	比較的
substitute	代わりに用いる／代用品
peel	皮
hospitality	おもてなし
tragedy	悲劇
struggle with	と闘う、に苦戦する
instruct	指示する、教える
gather	を集める
get used to	慣れる
out of date	時代遅れの
in tough	に強い
under way	進行中で
come into being	生まれ出る、生ずる
in need of	を必要として
be aware of	に気づいている
at a loss	途方に暮れて
within reach	届く範囲で
on average	平均して
in a row	一列に、連続的に
appear	現れる
hesitate	ためらう
be short of	が不足する
play a role in	において役割を果たす
alternative	代替物、代案
depression	落ち込み、不景気
large amount of	大量の、たくさんの
rug	じゅうたん、敷き物
invent	を発明する
encourage	を勇気づける、励ます
rarely	めったに～ない
digest	要約／消化する
focus on	に焦点を合わせる
be concerned about	について気をかける
vocabulary	単語、語彙
complex	複雑な、複合の
strengthen	強化する
similarly	同様に
ignorance	無知
opposite	反対の、向こう側の
pronunciation	発音
invention	発明
reverse	反対の、裏側の
commute	通勤する、取り替える
appeal	訴える、告発する
qualify	に資格を与える
incident	出来事、事件
market	市場
maximum	最大、最大の
yell	大声で叫ぶ
sneeze	くしゃみ
wipe	を拭く
twist	ねじれ、より合わせる
civilize	文明化する
murder	殺人
impose	を課す、負わせる
parliament	議会、国会
nursery school	保育園
glance	一目見る／一目
aid	援助／助ける
force	力、勢い
role	役割
acquaint	知人／に知らせる
superior	より優れた
knowledge	知識
mindful	気をつけて
stand still	停止、休止、行き詰まり
appearance	出現、外見
incredible	信じられない
in terms of	に関して、の点から
article	記事
for sure	確かに、間違いなく
ancestor	祖先、先祖
in time	丁度よい時に、丁度間に合って
bend	曲げる
occur	発生する、起こる
objection	異議、反対
lazy	怠け者の
outstanding	並外れた、目立った
construct	を組み立てる、建設する
adequate	適切で、十分な
instead of	の代わりに
mildly	穏やかに
scar	傷跡
hesitantly	躊躇して、もじもじして
wealthy	裕福な
give out	配布する、発表する
forget	を忘れる
stranger	他人
prove	を証明する
insurance	保険
generation	世代
take down	降ろす、書き取る
conclude	を締めくくる、終える
violence	暴力、乱暴
irritate	イライラさせる
put together	まとめる、一緒にする
account for	を説明する
tourism	観光
commit	専念、ゆだねる
put off	延期する
maintain	を維持する
favor	親切な行為
relevant to	に関連して
differ	異なる
keep up	保持する、維持する
look over	見渡す
though	だけれども
limb	手足
eventually	結局は、やがて
suggest	を提案する
entitle to	に資格を与える
capture	を捕まえる
psychology	心理学
export	を輸出する
spill	をこぼす
identity	同一性
participate	参加する
cough	咳払いする／咳
include	を含む
sincerely	心から、真心こめて
absorb in	吸収する、没頭する
improvement	改善、改良
crime	犯罪
spiritually	精神的に
proposal	提案
confess	を打ち明ける、白状する
credit	信用
reservation	予約
translation	翻訳
disadvantage	不利益、不利な立場
objectively	客観的に
consumption	消費、消費高
innocently	無邪気に
researcher	研究者、調査員
location	位置、場所
oxygen	酸素
do away with	廃止する
take care	注意する
neglect	を無視する、放っておく
be obliged to	義務付けられる、やむを得ずする
survive	生き残る
desert	砂漠
donation	寄贈、寄付
exhibit	示す、表す
principal	主要な
product	製品
in short	要するに
formal	形式の、形式的な
persuasion	説得
huge	巨大な、莫大な
migrate	移行する、移住する
logical	論理的な、論理上の
get away with	を持ち逃げする
interpret	を解釈する、受け取る
accuracy	正確さ、精密さ
contribution	寄付、貢献
climb	登る
stand up	立つ
preserve	保存／を保存する
laundry	洗濯物、クリーニング店
deal	を扱う、分配する
complain of	の不満を漏らす、について苦情を言う
intensive	集中的な、強調の
look through	をひと通り調べる、を見抜く
budget	予算、経費
mummy	ミイラ
dizziness	めまい
occasionally	時折、たまに
audience	聴衆、観客
liquid	液体
combine	を結合させる、合同する
imply	をほのめかす
applause	拍手かっさい、称賛
ridiculous	ばかげている
ignore	を無視する
mammal	哺乳類
indeed	実に、全く
blame for	の責任を問う、を責める
fossil	化石
obvious	明白な
precise	正確な、的確な
see in	案内して部屋に入れる、迎える
happen	起こる、発生する
argument	議論、口論
visually	視覚的に
terribly	ひどく、ものすごく
go after	を追いかける
by nature	本来、生来
direction	方向、方角
differ from	とは違って、との違い
astonish	ひどく驚かす、驚かせる
divide	を分割する、分ける
at least	少なくとも
distract	気を散らす、気をそらす
describe	を述べる、描写する
in place	決まった場所に、適切で
opinion	意見、考え
finally	ついに、やっと
frown	しかめっ面
culture	文化、教養
overcome	を克服する
figure	形、姿
inspire	鼓舞する
prize	賞
accomplishment	完成、成果
suburb	郊外
drag	引っ張る、引きずる
mineral	無機物
escape	逃れる、脱走する
come out	出てくる、世に出る
tremble	震える
stay up	（夜遅くまで）起きている
genuine	本物の、純粋な
come across	を横切る、出くわす
needlessly	不必要に
in exchange	と引き換えに
during	～の間、～の間ずっと
island	島
property	財産、所有物
deaf	耳が不自由な
masterpiece	傑作、名作
bound for	行きの、方向の
in stock	在庫あり
admission	入場、入場料
retire	退職する、引退する
deliver	配達する
draw	描く、引っ張る
factory	工場
create	創造する、考案する
rather	むしろ、どちらかといえば
threat	脅威
tropical	熱帯の
act on	を決定する、決議する
vital	極めて重要な、生命の
agricultural	農業の
altogether	完全に、まったく
quantity	量
male	男性、雄
by means of	によって、を用いて
insist	強く主張する
hesitation	ためらい、躊躇
persist in	固執する、やり通す
conversation	会話
ordinary	普通の、いつもの
in vain	無駄に、軽々しく
catch up with	に追いつく
off duty	非番の、勤務時間外で
live on	生き続ける
illustration	図解、実例
expensive	高価な、費用のかかる
expect	予期する、予想する
concentration	集中、専念
thermometer	温度計
advertisement	広告、宣伝
debt	借金、負債
pull down	引き下げる、取り壊す
investigate	調査する、研究する
description	説明書、記述
as follows	次のように
bother	面倒／迷惑をかける
punishment	罰、罰則
propose	を提案する、申し出る
flame	火炎、炎
ambulance	救急車
intense	激しい、熱心な
impossible	不可能な
be accustomed to	に慣れている
curiosity	好奇心
organization	組織、団体、協会
in danger of	の危険にさらされている
in turn	順番に
worthy of	ふさわしくて、に値して
look up to	を尊敬する
add to	付け加える、増やす
submit	を提出する、に服従する
immigration	移住、入国管理
convince	を納得させる
declare	を宣言する、公表する
vain	うぬぼれの強い
resource	資源、資産
domestic	国内の、家庭の
make up	用意する、片付ける
affection	愛情、好意
recent	最近の、新しい
discovery	発見
by heart	体で覚えて
stimulate	を刺激する、元気づける
college	大学
academically	学問的に
grass	草
praise	をほめる／賞賛
dentist	歯医者
truly	真に、正確に
cling	くっつく
clip	切る、切り取る／クリップ
reaction	反応
conventional	従来の
relieve	和らげる、軽減する
seek	求める、捜し出す
forever	永遠に
intervention	介在、仲裁
historian	歴史家
whether	どちらか
ethnic	民族の、民族特有の
swear	誓う
responsibility	責任
opponent	相手
blow	吹く
history	歴史
society	社会
mature	成熟した
democratic	民主主義の
manager	部長、支配人
definition	定義
abstract	抽象的な
recover	回復する
notion	考え、意見
reject	拒絶する、断る
chamber	小部屋
desire	願望／切望する
distinguish	を区別する
warn	警告する
excess	過剰、超過
numerous	多数の
harmony	調和
fail	失敗する
gentle	穏やかな、物柔らかな
enforcement	執行、実施
trait	特性、特色
deficit	赤字
source	情報源、原因
representative	代表者、代理人
commitment	約束、委託
worry	心配させる、心配する
bitter	苦い
assess	評価する
prosecution	起訴、告訴
discussion	議論、討論
drift	漂流
troop	群れ
crack	裂け目、ひび
plenty	たくさん
law	法律
share	分かち合う／分け前
assist	手伝う、促進する
later	後に
resolution	解決、決意
welcome	歓迎される
ensure	を確実にする、を保証する
classical	古典の
merely	単に
according	による、準じて
occupation	職業
proportion	比率、割合
anger	怒り
delivery	配達
annoy	いらだたせる
civilian	民間人、一般市民
craft	工芸、技能
appreciate	感謝する、を高く評価する
corridor	廊下
output	生産量
relation	関係性
pleasure	楽しみ、喜び
bored	退屈した
behavior	振る舞い、態度
conscious	意識して
objective	目標、目的地
education	教育
regional	地方の
controversial	議論の的になる、論争上の
investigator	捜査官
slide	滑る
seat	を着席させる／座席
tap	軽くたたく
manner	やり方、方法
therapy	治療
compete	競争する
representation	表現
tear	を引き裂く
crucial	重要な、決定的な
creative	創造的な
realize	だとわかる、実現する
physics	物理学
invest	に投資する
satisfaction	満足
dust	ほこり
possible	可能な
tremendous	非常に大きな
typically	典型的に
awareness	気づき
bill	請求書
quite	かなり
committee	委員会
dependent	依存している
especially	特に
deputy	代理
extent	程度、大きさ
subject	教科、主題
horror	恐怖
salary	給与
grand	壮大な
guide	案内人／案内する
vessel	容器
cooperation	協力
interfere	に干渉する
recall	呼び戻す、思い出す
patience	辛抱強さ
venture	冒険的事業
annual	毎年の
fair	公平な
behind	背後に
suppose	だと思う、と仮定する
provision	供給、支給
depend	依存する
myth	神話
sink	沈む
pregnant	妊娠している
derive	を引き出す
practically	実質的に、実際上
elaborate	手の込んだ
refugee	難民
motive	動機
ally	と同盟する
minimum	最小の
attorney	弁護士、代理人
commissioner	委員、理事
clue	手がかり、糸口
minister	大臣、牧師
arrival	到着
technical	技術上の、専門的な
similarity	類似点、相似
fully	十分に、完全に
nowhere	どこにも
reputation	評判
pretend	のふりをする
perception	知覚
rape	強姦する
lie	横たわる
tongue	言葉、舌
success	成功
install	導入する
hate	ひどく嫌う
notice	気づく／通知
mystery	神秘的な／神秘
adjust	を調節する
senate	上院
contemporary	現在の、現代の
previous	前の
oppose	反対する
arms	武器
creation	創造
Jewish	ユダヤ人
hunger	飢え、空腹
rude	失礼な
ritual	儀式
historical	歴史上の
opposition	反対、対立
structure	構造、建造物
percentage	割合
enter	入る
candidate	候補者、志願者
tip	先
use up	使い切る
state	状態
dignity	威厳、尊厳
physician	医師、内科医
labor	労働、労働者
international	国際的な
fiber	繊維
strongly	強く、激しく
household	家族、世帯
nation	国家
jury	陪審員
former	前の
illegal	違法の
circumstance	状況、環境
wan	青ざめた
spoil	台無しにする、損なう
composition	構成、制作
tail	尾
majority	大多数
beside	の横に
operation	操作、作用
talent	才能
pleasant	楽しい
era	時代
ultimate	究極の、最後の
telescope	望遠鏡
originate	始まる、起こす
delight	喜び、歓喜
afford	余裕がある
operate	操作する
consistent	一貫した、矛盾のない
exhaust	疲れ果てさせる、消耗させる
twin	ふたご
smart	頭の良い、きちんとした
enhance	強調する、（さらに）高める
defendant	被告人
negotiation	交渉、話し合い
face	直面する／顔
immediate	即座の
instant	瞬間、瞬時
bloody	血の
gear	伝動装置
block	を妨げる
unless	でない限り
willing	いとわない、快諾する
negotiate	交渉する
doubt	疑い、疑問
whenever	する時はいつでも
wage	賃金
abortion	中絶
strange	奇妙な、異常な
estate	財産
addition	追加
fix	固定する
bind	縛りつける、束ねる
shed	流す
citizen	市民、国民
summit	頂上
battery	電池
complexity	複雑さ
reduction	削減、減少
disaster	災害、災難
comfort	快適さ／慰める
founder	創設者
assault	暴行、攻撃
broadcast	放送する
critic	批評家、評論家
friendly	友好的な、親切な
consequently	その結果として
unable	できない
urban	都会の
detailed	詳細の
primitive	原始的な
electrical	電気の、電気を用いた
afraid	心配して、恐れて
community	共同社会
connect	つなげる
scheme	計画、案
language	言語
colleague	同僚、仲間
stroke	打撃
servant	使用人、召使
belief	信念
inflation	膨張
Muslim	イスラム教徒
upset	気持ちが動揺した、ひっくり返す
permanent	永久の
apply	適用する
failure	失敗
seed	種子
potentially	潜在的に
cultivate	耕作する
awful	ひどい、恐ろしい
mate	友達、仲間
military	軍隊の
armed	武装した
lung	肺
sequence	連続
impress	感銘を与える
Mexican	メキシコの
suffering	苦しみ
refrain from	を控える、を遠慮する
well-known	よく知られた、有名な
associate	結びつけて考える、賛同する
lord	領主、支配者
governor	知事
inquiry	問い合わせ、質問
bishop	司教
background	背景
beg	懇願する
relevant	関連のある、適切な
recognition	認識
sharp	鋭い
legal	法律の
criticize	を批評する
naked	裸の
symptom	症状
raw	生の
association	協会、連合
phase	段階
politics	政治
atmosphere	雰囲気
lap	ひざ
clerk	事務員、社員
fault	欠点、短所
toward	に向かって、の方へ
foreign	外国の
global	地球の
hire	雇う
item	項目、品目
dislike	嫌がる、嫌い
unknown	未知の
nearby	近くの
traditional	伝統的な
liberty	自由、独立
toe	つま先、足の指
mean	を意味する
appoint	任命する、指定する
courage	勇気
quarter	四半期
affair	事柄
snap	パチンと鳴らす
tale	お話
educational	教育の
hardly	ほとんどない
conclusion	結論
whereas	である一方で
custom	習慣
biological	生物学上の
confine	制限する
beneath	の下に
extinction	絶滅
