famous	有名な
breakfast	朝食
hat	帽子
dinner	夕食
watch	見る
around	のまわりに
salad	サラダ
school festival	文化祭
nature	自然
design	を設計する
share	分かち合う
long	長い
receive	を受け取る
injure	を傷つける
theater	劇場
horror	恐怖
attend	に通う、に出席する
die	死ぬ
every year	毎年
fast	速い
umbrella	傘
pleasure	楽しみ
picture	絵、写真
see	見る
art	芸術
too	～もまた
grandmother	祖母
doctor	医者
teach	教える
station	駅
after	～の後で
airplane	飛行機
memory	記憶
wish	望む
answer	答える
example	例
protect	を守る、保護する
century	世紀
moment	瞬間
as usual	いつものように
difference	違い
finish	終える
actually	実は、本当は
in those days	当時は
noisy	騒がしい
hospital	病院
recently	最近
fact	事実、現実
sight	見ること
judge	審判員
complain	不満を言う
reach	届く
lose	失う
toy	玩具
November	11月
behind	背後に
support	を支援する、応援する
outside	の外側に
matter	問題、困ったこと
forget	忘れる
wait for	を待つ
tooth	歯
rest	休息
airline	航空会社
finally	ついに、やっと
river	川
pond	池
hill	丘
cry	泣く
at first	最初は
grade	評価
warn	警告する
comfortable	心地の良い
flavor	風味
meat	肉
kind	種類
square	正方形の
a kind of	一種の
bread	パン
quickly	素早く
burn	を燃やす
at that time	あの時は
word	言葉
continue	続く
manager	部長
not at all	全くない
abroad	外国へ
farmer	農家
market	市場
health	健康
fresh	新鮮な
build	建てる
future	未来
culture	文化
never	一度もない
silent	静かな
worry about	について心配する
several	幾つかの
however	しかし
foreign	外国の
interest	興味
at last	ついに
speak	話す
somewhere	どこかに
for free	無料で
less than	未満
correct	正解
clever	利口な
very	非常に
probably	多分
held	握った
tradition	伝統
know	知っている
color	色
afternoon	午後
sun	太陽
summer	夏
soil	土
thousand	千
horse	馬
lost	失った
April	4月
won	勝った
tell	伝える
useful	役に立つ
cloud	雲
exchange	交換する
shake	震える
raise	手などを挙げる
agree	賛成する
smell	においがする
where	どこに
poor	貧乏な
gave	与えた
take	取る
walk	散歩する
Monday	月曜日
enjoyed	楽しんだ
studied	勉強した
sold	売った
go abroad	外国へ行く
spoke	話した
made	作った
graduate	卒業する
within	以内で
yesterday	昨日
because	なぜなら
dangerous	危険な
island	島
temple	お寺
beginning	最初
traditional	伝統的な
in season	旬で
heaven	天国
fool	馬鹿
as a result of	の結果
address	住所
say again	もう一度言う
lie	嘘をつく
evacuation	避難
found	を見つけた
help with	を助ける
personal	個人の
in advance	前もって
drop out	中退する
independence	独立
gentle	優しい
a second	少しの間
shout	叫ぶ
ordinary	普通の
more and more	ますます多くの
many	多くの
sentence	文
up until	まで
whole	全体の
calligraphy	書道
calm	落ち着いた
fail	失敗する
too ～ for	～すぎる
thousands of	何千もの
so that ～	とてもなので～だ
unhappy	不幸な
well	健康な
violence	暴力
awesome	素晴らしい
enemy	敵
someone	誰か、ある人
arrow	矢
bother	面倒をかける
fight	戦う
worth	の価値がある
custom	習慣
sent	送った
announce	を発表する
illegal	違法な
electronic	電子の
latest	最新の
hurry	急ぐ
shelter	避難所
crowd	群衆
surprisingly	驚いたことに
by bus	バスで
give a ride	を車に乗せる
cancer	がん
every minute	毎分ごとに
fill	いっぱいにする
at most	多くとも
on the way	道の途中で
spelling	綴り
beer	ビール
gas	ガソリン
both of	両方とも
nuclear	核の、原子力の
between	～と～の間
try to	しようとする
disagree	意見が合わない
destroy	を破壊する
go straight	まっすぐ行く
eat out	外食する
would like to ～	～したい
palace	宮殿
bake	焼く
sailor	船員
tell to ～	に～するように言う
brain	脳
electronic device	電子機器
get fired	解雇される
stand by	そばに立つ
border	国境
learn about	について学ぶ
sustainable	持続可能な
encourage	を励ます
usual	通常の
fossil fuel	化石燃料
death	死
inventor	発明家
born	生まれた
habit	習慣
earth	地球
barber	理髪師
emergency	緊急事態
get on	乗り込む
earthquake	地震
just in case	もしもの場合に備えて
laugh	笑う
field trip	校外学習
spread	広がる、広まる
from the experience	経験から
such as	例えば
Let us (Let's)	～しましょう
tough	困難な、難しい
lip	唇
tightly	しっかりと
bridge	橋
farewell party	送別会
elementary school	小学校
president	大統領
entrance ceremony	入学式
relatively	比較的
not always	必ずしも～ない
row	漕ぐ
drove	運転した
low	低い
be excited	興奮している
branch	枝
on your right	右手に
believe in	を信じる
common	共通の
discover	発見する
tie	ネクタイ
coal	石炭
have a headache	頭痛がする
care for	世話をする
agree to	に同意する
feel free to	自由に～する
wind	風
in case of	の場合には
from now on	これから
thought	考え
make all the difference	大きな違いを生む
peace	平和
poet	詩人
not only...but also...	…だけでなく…も
in case...	…の場合には
definitely	間違いなく
rose	昇った
write down	書き留める
be made of	でできている
domestic	国内の
rather than	～よりむしろ
most	ほとんどの
vacation	休暇
run out of	を使い果たす
get attention	注目を集める
strict	厳しい
artistic	芸術的な
in conclusion	結論として
most of	大部分の
little	少しの
wonder	不思議に思う
war	戦争
senior	上級の
roof	屋根
tax	税金
medicine	薬
drop	落とす
what to	何を
east	東
absent	欠席の
ecosystem	生態系
illiterate	読み書きのできない
be in trouble	困っている
possible	可能な
in a hurry	急いで
introduce	紹介する
ban	禁止する
land	土地
by car	車で
creative	創造的な
overseas	海外の
discuss	議論する
flat	平らな
daily	毎日の
prefer A to B	BよりAを好む
hopeful	希望に満ちた
so far	これまで
one by one	一つずつ
all day long	一日中
desert	砂漠
be ready for	に備えている
port	港
researcher	研究者
with a smile	笑顔で
belong	所属する
live abroad	海外に住む
functional	機能的な
be famous for	で有名である
electricity	電気
keep in touch	連絡を取り合う
leaf	葉
establish	設立する
climb	登る
amaze	を驚かせる
valley	谷
at noon	正午に
satisfy	を満足させる
transport	を輸送する
human being	人間
blow	吹く
believe it or not	信じられないだろうが
monthly	毎月の
second	秒
get out	外に出る
although	～だけれども
silk	絹
endangered	絶滅危惧種の
convenient	便利な
gym	体育館
go ahead	どうぞ
breed	育てる
wrap	包む
increase	増やす
railway	鉄道
on the other hand	一方では
shoulder	肩
supply	供給する
according to	によると
lead	導く
national	国の
do a favor	親切にする
foot	足
take out	持ち出す
survey	調査する
south	南
let	させる
so that ～	～するように
sort	種類
arrive at	に到着する
on foot	歩いて
jewel	宝石
fall in love with	に恋する
though	～だけれども
be in danger of	～の危険がある
dead	死んだ
hundred	百
indeed	確かに
government	政府
countryside	田園地帯
amount	量
limited	限定された
climate	気候
out of order	故障して
human rights	人権
surround	囲む
holy	神聖な
instruction	指示
waste	無駄にする
survive	生き残る
weekly	毎週の
on the wall	壁に
be about to	～しようとしている
magazine	雑誌
store	保管する
opinion	意見
day after day	毎日
lazy	怠惰な
discrimination	差別
root	根
fold	折り畳む
even so	それでも
afraid	恐れている
bit	少し
all over	至る所に
development	開発
steam	蒸気
foolish	愚かな
pain	苦痛
from A to B	AからBまで
chemical	化学物質
check out	チェックする
said	言った
capture	捕まえる
paper crane	折り鶴
be concerned with	関心を持つ
be sick of	うんざりする
tiny	小さな
wet	濡れた
get over	乗り越える
arrest	逮捕する
curious	好奇心の強い
encourage to ～	～するように促す
get along with	仲良くする
unfair	不公平な
strange	奇妙な
carefully	注意深く
tired	疲れた
take a rest	休む
terrible	ひどい
hope to	～したい
accept	受け入れる
statue	像
else	その他
law	法律
check ～ out	～を確認する
stationery shop	文房具店
site	場所
hand out	配る
search for	探す
decision	決定
day in, day out	毎日
in detail	詳細に
growth	成長
stationery	文房具
above	上に
stand	耐える
yet	まだ
include	含む
hold	持つ
carbon dioxide	二酸化炭素
hear from	から連絡を受ける
apply	適用する
enough to	～するのに十分な
wake	目を覚ます
depend on	に依存する
bomb	爆弾
resident	住民
audience	聴衆
brave	勇敢な
extinguisher	消火器
iron	鉄
be likely to	～する可能性が高い
trade	貿易
hall	ホール
be in need of	を必要とする
stand up	立ち上がる
fill in	記入する
capital	首都
person	人
run	運営する
flight	飛行
get lost	迷う
renewable	再生可能な
all the time	いつも
poem	詩
ask 人 for　人に～を頼む
donate	寄付する
begin	始める
nest	巣
be known as	として知られる
import	輸入する
secret	秘密の
given	与えられた
progress	進歩する
unused	未使用の
neither...nor...	…も…もない
as a whole	全体的に
to go	持ち帰り
wave	波
yen	円
debate	議論する
lullaby	子守唄
feather	羽
go through	経験する
note	メモ
awake	起きている
fall	落ちる
crazy	気が狂った
for instance	例えば
plastic bag	ビニール袋
discussion	議論
junior high school	中学校
drop by	立ち寄る
metal	金属
relation	関係
colony	植民地
airport	空港
past	過去
count on	頼る
succeed	成功する
certain	確実な
be amazed at	驚く
modern	現代の
get rid of	処分する
affect	影響を与える
match	一致する
beyond	向こうに
president	社長
as well	また
even	～でさえ
be satisfied with	に満足する
quietly	静かに
for example	例えば
foreign language	外国語
blood	血液
fall asleep	眠りにつく
signal	合図
decide to	～することにする
protest	抗議
extinction	絶滅
fantastic	素晴らしい
belong to	に属する
pleased	満足した
uniform	制服
stranger	見知らぬ人
neighbor	隣人
mean	意味する
courage	勇気
eraser	消しゴム
quarter	4分の1
get out of	～から出る
leg	脚
from now on	これから
army	軍隊
language	言語
universe	宇宙
for a while	しばらく
solve	解決する
stay up	夜更かしする
effective	効果的な
pursue	追求する
step	ステップ
an average of	平均して
relate to ～	～と関連付ける
well-known	有名な
condition	状況
burden	負担
wood	木
shade	日陰
merchant	商人
son	息子
heard	聞いた
sidewalk	歩道
quiet	静かな
billion	10億
graduation	卒業式
by the way	ところで
release	解放する
heat	熱
get tired	疲れる
perhaps	おそらく
factory	工場
besides	さらに
successful	成功した
weapon	武器
as soon as possible	できるだけ早く
little	小さな
necessary	必要な
someone in need	困っている人
extend	延長する
happiness	幸せ
be scared of	を恐れる
midnight	真夜中
consumer	消費者
get up	起きる
depend	依存する
this way	このように
trust	信頼する
film	映画
honest	正直な
college	大学
loss	損失
front	前面
honey	蜂蜜
grass	草
after a while	しばらくして
suddenly	突然に
heart	心臓
disaster	災害
instead of	～の代わりに
too ～ to～	～するには～すぎる
disease	病気
weak	弱い
pass by	通り過ぎる
could	できる
from ～ to ～	～から～まで
rapidly	急速に
charge	料金
meant	意味した
behavior	行動
uncomfortable	不快な
title	タイトル
resource	資源
police officer	警官
ashamed	恥ずかしい
yet	まだ
image	イメージ
mouth	口
be familiar with	精通している
seem	見える
north	北
planet	惑星
even if	たとえ～でも
ask 人 about　人に～について質問する
fortunately	幸いなことに
exception	例外
cloth	布
certainly	確かに
for here	こちらで
surely	きっと
go to　行く
device	機器
arm	腕
be responsible for　責任がある
treasure	宝物
just	ちょうど
at	～で
up to	～まで
at least	少なくとも
call back	折り返し電話する
die out	絶滅する
sit down	座る
look after	世話をする
focus on	に集中する
show 人 around　人に案内する
respect	尊敬する
somehow	何とかして
mind	気にする
fire	火災
leave for	に向かう
god	神
blind	盲目の
be aware of	知っている
take it back	取り消す
fly	飛ぶ
tear	涙
employee	従業員
raw	生の
survival	生存
realize	気づく
nuclear power	原子力
road	道路
species	種
lawyer	弁護士
parking lot	駐車場
look at	見る
learn a lot from　～から多くを学ぶ
pretty	かなり
success	成功
be full of	～でいっぱいである
fire (解雇)	解雇する
try hard	頑張る
himself	彼自身
sleepy	眠い
quite	かなり
away	離れて
lie	嘘をつく
and so on	など
kind to　親切な
scared	怖い
dislike	嫌う
ahead	先へ
excuse	許す
period	期間
