diplomatic	外交の、外交上の
precision	正確さ、精度
synthesis	統合、統一
accessible	行きやすい、便利な
register for	に登録する、に記録する
foresee	予見する、予測する
optimistic	楽観的な、前向きな
envision	想像する、思い描く
resistant	抵抗する、反抗的な
weigh on	の重荷になる、負担になる、の負荷となる
allay	和らげる、軽減する
feel for	を感じる、同情する、を体感する
eradicate	根絶する、撲滅する
unintended	意図しない、計画しない
supervision	監督、指導者
play out	最後まで演じる、遊ぶ、最後まで続ける
mentally	精神的に、心理的に
dent	へこみ、凹み
noticeable	目立つ、際立つ
rebellious	反抗的な、抵抗的な
outrageous	無法な、法律を無視した
nasty	不快な、不愉快な
pull over	車を止める、車を停止させる
greenhouse	温室、ビニールハウス
bandage	包帯、絆創膏、ガーゼ
pat	軽くたたく、軽く打つ
soak	浸す、浸漬する
eventual	最終的な、究極的な
aim to	するつもりである、意図する
gross	全体の、総体的な
affluent	裕福な、富裕な
imperfect	不完全、未完成
measurement	測定、計測
substantially	実質的に、本質的に
disruptive	破壊的な、破壊力のある
inmate	収容者、被収容者
differently	異なって、異なる
wrap up	纏める、結束する
childbirth	出産、分娩
tell on	言いつける、密告する
midwife	助産婦、産婆
discomfort	不快感、違和感
pull through	を乗り越える、を超える
heal	癒す、治す
embarrassed	恥ずかしい、照れる
herd	群れ、集団
suburban	郊外の、郊外型の
placid	穏やかな、温和な
bounce back	持ち直す、回復する
bliss	至福、極楽
cross out	線を引いて消す、を抹消する
entice	誘惑する、魅惑する
provocative	挑発的な、挑戦的な
passionate	情熱的な、熱情的な
feminist	男女同権主義者、フェミニスト
extract	抜き取る、取り除く
elicit	引き出す、取り出す
deprivation	剥奪、取り上げ
confession	告白、自白
cascade	小滝、小さな滝
erroneous	誤った、間違えた
pass off	次第に消える、徐々に消える
testimony	証言、申し立て
paranoia	妄想症、幻想症
gutter	側溝、排水溝
settle up	を支払う、払い戻す
denounce	非難する、批判する
tacit	暗黙の、言わずと知れた
consent	同意する、賛成する
witch	魔女、魔法使い
give in	降伏する、投降する
subdue	鎮圧する、抑制する
coerce	強制する、強いる
crusade	聖戦、聖なる戦争
allegedly	申し立てによると、主張によると
shady	陰になった、日陰になった
intimidation	脅迫、威嚇
deceit	詐欺、騙し
ail	苦しめる、苦痛を与える
assert	主張する、主意を表す
rampage	大暴れ、乱闘
mentor	指導者、リーダー
confrontation	対決、対戦
presidency	大統領職、首相職
brush off	をすげなく断る、無視する、拒否する
purge	粛清する、浄化する
dire	悲惨な、哀れな
unethical	非倫理的な、不道徳な
neutral	中立の、公平な
abominable	忌まわしい、憎むべき
stuck up for	を支持する、を弁護する、を擁護する
exquisite	絶妙な、見事な
incremental	増加の、増大の
validity	有効性、効果性
discrepancy	不一致、食い違い
fix up	を修理する、決定する、を直す
momentum	運動量、運動エネルギー
rue	後悔する、悔いる
nutrient	栄養素、栄養分
absorption	吸収、吸取
physically	肉体的に、身体的に
thrive	繁栄する、隆盛する
notable	注目すべき、重要な
geography	地理、地理学
foam	小さな泡、微細な泡
duration	持続時間、持続期間
determination	決定、決断
reign	統治、治世
footing	足場、基盤
continuous	継続的な、持続的な
demographic	人口統計の、人口統計学の
explicit	明らかな、はっきりとした
along with	に沿って、従って
lessen	減らす、減少させる
portal	正門、入り口、門口
repeatedly	繰り返し、反復
harry	うるさく悩ます、蹂躙する、苦しめる
forbidden	禁じられた、禁止された
disturbing	邪魔な、迷惑な
par	同等、等価
across from	の向かいに、対面に
heath	荒野、野原
chemistry	化学、化学的な
malignant	悪意のある、悪意を持った
carcinogen	発がん物質、発癌性の物質
accumulate	蓄積する、貯蔵する
evacuate	避難する、逃避する
threshold	閾値
invaluable	貴重な、価値のある
miss out	機会を逃す、見落とす、見過ごす
ubiquitous	至る所に存在する、遍在する
burn out	を焼き尽くす、を灼き尽くす
formulate	策定する、計画する
feed off	から取って食べる、情報を得る、採取して利用する
hidden	隠された、隠秘の
botanist	植物学者、植物研究者
diplomat	外交官、外交官僚
skim over	流し読みする、ざっと読む、素早く読む
denote	表示する、示す
notorious	悪名高い、有名な
monarch	君主、王
faction	派閥、党派
animosity	敵意、敵対心
undermine	弱体化させる、衰退させる
ballot	投票用紙、選挙票
liability	責任、責務
successor	後継、次代
aggravate	悪化させる、劣化させる
signify	意味する、示す
loyal	忠実な、信念の厳格な
fortunate	幸運な、運の良い
giant	巨大な、大規模な
collision	衝突、対立
compelling	説得力のある、有力な
critical of	を批判する、非難する
plunge	突入する、侵入する
lava	溶岩、マグマ
devastating	壊滅的な、破壊的な
partial	部分的な、一部の
in line with	に従って、一致して、合致して
surge	波打つ、急に上がる
adamant	断固たる、固定的な
sole	単独の、単一の
consensus	同意、同調
rein	手綱、馬具
exorbitant	法外な、途方もない
depletion	枯渇、涸れる
split up	を分ける、分割する、区別する
regulatory	規制、制限
thoroughly	徹底的に、完全に
genetic	遺伝的な、遺伝による
indigenous	原産の、原生の
realistic	現実的な、現実に即した
allied	同盟を結んでいる、連携している
let up	やめる、弱まる、止める
volcano	火山、噴火口
cozy	居心地の良い、快適な
stubborn	頑固な、固執する
neat	きちんとした、整った
ease into	にゆっくりと入る、スムーズに入る
tidy	きちんとした、整った
play down	を軽く扱う、手軽に扱う
surgical	外科の、外科的な
go against	に反して、に逆らって、反対に
instantly	すぐに、直ちに、即座に
sting	刺す、突く
sunburn	日焼け、日焼け跡
add up to	結局、になる、結果として
venerable	由緒ある、歴史ある
play up	を重視する、強調する、優先する
assimilate	吸収する、同化する、取り込む
terminology	用語、専門用語
vault	丸天井、ドーム型の天井
indicative	表示する、示す
hang out	くつろぐ、リラックスする
dilute	薄める、希釈する
by contract	対照的に、比較して
suitor	求婚者、プロポーザルする人
endear	慕わせる、愛される
opportune	好機の、絶好の機会
proverbial	ことわざの、の
fall into	に属する、分類される
wry	ゆがんだ、歪んだ
shaggy	毛深い、毛むくじゃらの
drag on	長引く、続きすぎる
imperative	命令的な、指令的な
life expectancy	余命、生命の期間
ornate	華やかな、豪華な
drive off	を追い払う、排除する
molest	悩ます、困らせる
carry through	やり通す、達成する
maritime	海事の、海洋に関する
finish off	を完成させる、完遂させる
ascend	昇る、上昇する
stand down	身を引く、後退する
rant	怒鳴り立てる、大声で叫ぶ
blatant	露骨な、あからさまな
lay off	を解雇する、首にする
plausible	もっともらしい、信用できる
reaffirm	再確認する、再度チェックする
delve	掘り下げる、深く調べる
excerpt	抜粋、引用
timidity	臆病、怯える
coarse	粗末な、質素な
amass	蓄える、保存する
flaunt	誇示する、見せびらかす
yeast	酵母、きっかけ
frolic	戯れる、遊ぶ
procedural	手続きの、手順の
momentous	重大な、深刻な
counterclockwise	反時計回りの、逆回り
frosty	凍えるような、氷点下の
garner	集める、収集する
grow into	に発展する、進行する
light bulb	電球、光球
bogus	偽の、詐欺的な
horrify	怖がらせる、恐れさせる
prevent A from B	AをBから防ぐ、保護する
trilogy	三部作、三連作
dreadful	恐ろしい、怖い
bemoan	嘆く、嘆き悲しむ
deflect	そらせる、逸らす
turbulence	乱気流、渦
vista	眺望、景色
reliant	頼っている、信頼している
pollute	汚染する、汚す
binary	二の、二番目の
phony	偽物の、模造の
shake up	大きく変える、再編する
hoist	揚げる、炸製する
innate	生まれつきの、先天的な
colloquial	口語の、話し言葉の
abduct	拉致する、誘拐する
inaugural	就任の、着任の
act on	に従って行動する、従う
aquatic	水生の、水中の
stunning	驚くような、驚異的な
lag	遅れる、遅延する
unison	一致、合致
pastoral	羊飼いの、牧羊人の
launder	洗濯する、洗う
authoritative	権威ある、権力のある
impart	与える、授ける
crunch	噛み砕く、消化する
tentative	暫定的な、一時的な
revamp	改修する、修復する
flex	曲げる、湾曲させる
transcription	転写、写す
convertible	形を変えられる、形状を変化させる
water vapor	水蒸気、蒸気
colossal	巨大な、大きな
revitalize	活性化させる、刺激する
thee	汝を、あなたを
stub	使い残り、残り物
ulcer	潰瘍、胃潰瘍
indistinct	不明瞭な、ぼやけた
divulge	漏らす
keep A company	Aに同行する、Aとともに行く
hollow	空洞のある、中が空の
drop back	後退する、後ずさる
outcast	追放された、追い出された
prudent	用心深い、慎重な
debilitate	衰弱させる、弱める
insinuate	ほのめかす、示唆する
rub in	刷り込む、教え込む
oblivious	忘れっぽい、物忘れの激しい
traction	牽引、引っ張る
with all	にも関わらず、尽力しても
ruthlessly	冷酷に、冷徹に
scour	こすり洗う
genial	親切で愛想のよい、親しみやすい
substantive	実質的な、具体的な
repeal	廃止する、中止する
sloppy	ずさんな、いい加減な
tie up	を縛り上げる、束縛する
lamentable	哀れな、悲しい
interrogate	尋問する、質問攻めにする
episcopal	監督の、指導者の
treason	反逆、反乱
dainty	上品な、洗練された
dizzy	めまいがする、目が回る
concoct	練る、混ぜ合わせる
run against	にぶつかる、出くわす
scuttle	急いで行く、速く走る
loose	緩い
get on with	とうまくやっていく、スムーズに進める
admonish	訓戒する、警告する
in pursuit of	を追跡して、追いかけて
questionable	疑わしい、疑念を抱く
haughty	高慢な、傲慢な
experiment with	を試す、実験する
hefty	重い、沈重な
soothing	和らげる、軽減する
commend	褒める、賞賛する
chasten	懲らしめる、罰する
liken	例える、比較する
spring up	突然現れる、跳ね上がる
facile	安易な、手軽な
intuitive	直感的な、直観的な
capitalize	大文字にする、大型化する
folly	愚かな、馬鹿な
fend	避ける、回避する
coalesce	合体する、結合する
alleviate	和らげる、軽減する
exhale	吐き出す、放出する
slip by	そっと通り過ぎる、静かに過ぎる
enigmatic	謎めいた、神秘的な
gnaw	かじる、噛む
inter	埋葬する、埋める
loathe	嫌う、嫌悪する
real estate	不動産、物件
venue	現場、場所
cardinal	主要な、中心的な
lousy	ひどい、悪い
resurrect	復活させる、再生する
nestle	寄り添う、側にいる
temperament	気質、性質
dismay	がっかりさせる、失望させる
abort	中絶する、挫折する
elusive	捉えどころのない、不確定な
neurotic	神経症の、神経質な
confound	混乱させる、乱す
step down	降りる、身を引く
tenure	任期、期間
laughable	失笑を買った、笑われた
rebel against	に反抗する、対抗する
statistic	統計
clockwise	時計回りに、右回り
curtail	削減する、減少させる
entrust	委託する、依頼する
catastrophic	破滅的な、壊滅的な
fire up	点火する、起動する
come along	一緒に行く、共に進む
injurious	有害な、危害を及ぼす
back off	後退する、後ろに下がる
sign up	登録する、署名する
complementary	補完的な、補足的な
nasal	鼻の、鼻関連の
drawl	ゆっくり話す、遅く話す
dietary	食事の、食事関連の
peripheral	周辺の、近隣の
crumple	くしゃくしゃにする、よれる
prolong	延ばす、伸ばす
out of question	話にならない、不可能な
heave	盛り上がる、興奮する
molecular	分子の、微小な
gingerly	極めて慎重に、非常に注意深く
giddy	めまいがする、頭が回る
nomadic	遊牧の、移動する
recoup	取り戻す、回収する
strenuous	努力を要する、骨の折れる
demolish	取り壊す、壊す
scratch out	（線を引いて）消す、取り消す
meticulous	細心の、慎重な
acquaint	知らせる、通知する
treatise	論文、論説
oust	追い払う、追い出す
empirical	経験に基づいた、実績からの
fall away	弱まる、落ちる
startling	驚くべき、驚異的な
be aimed at	を狙っている、が意図されている
discrete	個別の、独自の
termination	終了、終わり
mull	良く考える、砂糖を入れて温める
overhaul	分解検査する、分析検査する
obligate	義務づける、強制する
wretch	みじめな人、不運な人
ardent	熱心な、情熱的な
run down	流れ落ちる、荒廃する
innermost	奥底の、深層の
volatile	揮発性の、揮発する
beguile	惑わす、混乱させる
come down to	結局、になる、に帰する
impoverished	貧しい、貧弱な
veto	拒否権、拒絶権
arduous	骨の折れる、困難な
crafty	狡猾な、ずるい
ferocious	どう猛な、激しい
bureaucratic	官僚的な、形式的な
construe	解釈する、解明する
derivative	派生した、派生する
mystic	神秘的な、不可解な
magnify	拡大する、増大する
impending	起こりそうな、可能性がある
gallant	勇敢な、勇気のある
appease	なだめる、鎮める
reverberate	反響する、反応する
groundless	根拠のない、無根拠の
invincible	無敵の、無敵な
deficient	欠乏した、不足した
pass for	として通る、通過する
singular	特異な、特有な
indifferent	無関心な、冷淡な
devolve	譲り渡す、移譲する
emanate	発する、出す
inconspicuous	目立たない、控えめな
pediatric	小児科の、子供の病気の
wartime	戦時、戦争時
pristine	元の、以前の
incompetent	無能な、劣る
bask	日向ぼっこする、日光浴する
duplicate	複製する、複写する
definitive	決定的な、断定的な
treachery	裏切り、背信
hamper	妨げる、邪魔する
back down	手を引く、撤退する
stern	厳しい、厳格な
chide	叱る、怒る
crackle	バチバチと音をたてる、クリックする
peek	ちらっと覗く、一瞬見る
obsolete	時代遅れの、古臭い
proportionate	比例した、均等な
viable	生存できる、生き抜く
grate	格子、格子状
bank on	を当てにする、依存する
neutralize	中和する、中立化する
graceful	優雅な、洗練された
fall off	減少する、減る
look down on	を見下す、軽視する
stingy	けちな、節約好きの
jab	突き刺す、突き立てる
dusky	薄暗い、昏い
subdivision	細分化、分割
focal	焦点の、中心的な
shun	避ける、回避する
wig	カツラ、人工の髪
discernible	識別できる、区別できる
exhilarate	陽気にさせる、楽しくさせる
customary	慣習的な、伝統的な
stick around	居残る、うろうろする
stuffed	詰め込んだ、充填した
mince	刻む、細かく切る
statutory	法定の、法的な
role model	お手本、模範
obstruct	邪魔する、妨害する
stature	身長、身の丈
talk down to	見下して話す、軽蔑して話す
recurring	繰り返し、再三
ignite	点火する、火をつける
make progress	進歩する、進展する
lose out to	に負ける、敗れる
ominous	不吉な、不運な
mitigate	和らげる、柔らかくする
vicar	牧師、神父
collateral	並び合った、横に並んだ
semantic	意味論の、意味学の
disquiet	不穏な、不安定な
hale	元気な、活発な
muse	深く考える、熟考する
autonomous	自律的な、独立的な
give over	を任せる、委ねる
gloat	満足げに眺める、得意に見る
relinquish	放棄する、捨てる
superfluous	余計な、過剰な
make over	を作り替える、改造する
stop A from doing B	AがBすることを止める、AがBするのを禁じる
scoff	嘲笑する、あざ笑う
cringe	すくむ、怯える
pissed	腹を立てた、怒った
despite	にも関わらず、とはいえ
benign	良性の、善良な
bring on	を引き起こす、誘発する
inflammatory	炎症性の、炎症を引き起こす
wharf	波止場、埠頭
press for	をせがむ、催促する
shear	刈り取る、収穫する
incumbent	責務がある、義務がある
wistful	もの悲しい、哀しい
disgraceful	恥ずかしい、恥じらいの
invest in	に投資する、資金を提供する
sinister	不吉な、縁起が悪い
sprout	芽、新芽
fraudulent	詐欺、欺瞞
improvise	即興で作る、その場で作り出す
turnaround	方向転換、方向変更
contentious	論争好きな、争い好きな
sag	たるむ、弛む
eat up	食べつくす、食べ尽くす
entreat	懇願する、頼む
gastric	胃の、胃部の
revoke	取り消す、撤回する
branch off	分岐する、枝を広げる
coax	説き伏せる、説得する
illicit	不法の、違法の
cut off	を断つ、切る
briskly	活発に、元気に
languish	弱る、衰える
avenge	仇を討つ、復讐する
divisive	不和の生じた、対立している
diminutive	とても小さな、極小の
beckon	手招きする
elude	逃げる、逃走する
enclose	囲む、同封する
espouse	支持する、後援する
imminent	差し迫った、切迫した
quash	鎮圧する、破棄する
get into	に入り込む、合格する
toddler	幼児、小児
peddle	行商する、売り歩く
relegate	左遷する、異動させる
waterfall	滝、瀑布
warden	監視員、見張り
mediocre	平凡な、普通の
derail	脱線させる、乱す
inflame	燃え上がらせる、炎上させる
urine	尿、尿液
watershed	分水嶺、分岐点
intermediary	仲介の、調停の
ultraviolet	紫外線の、UVの
wary	警戒している、注意している
dish out	盛り付ける、配膳する
vigorously	精力的に、エネルギッシュに
tint	色合い、色調
nudge	軽くつつく、ちょんと突く
quarrelsome	議論好きな、論争好きな
creepy	気味悪い、不快な
fragmentary	断片的な、部分的な
sorely	ひどく、非常に
vocational	職業の、仕事の
set aside	横に置く、取っておく
eschew	避ける
disguise	変装させる、見せかける
usher	案内係、ガイド
scattered	散らばった、散在した
jumble	乱雑にする、乱す
dormant	休眠中の、休止中の
corrupt	不正行為をする、カンニングする
crackdown	取り締まり、監視
malaise	不快感、違和感
bigotry	偏屈、頑固
fanatic	狂信者、過激派
stash	隠しておく、秘密にする
reconnaissance	偵察、偵察
proclamation	宣言、公言
inhibitor	抑制する人、制御者
to the point	適切な、要領を得た、適当な
rancor	怨恨、憎しみ
transcribe	複写する、複製する
catch on	流行する、受け入れられる、人気を博する
rift	切れ目、切り口
chant	単調な歌、一本調子の歌
edifice	建築物、構造物
rectitude	実直さ、誠実さ
puddle	水たまり
flurry	突風、突然の風
take A away from B	BからAを取る、BからAを除外する
quartet	四人組、4人組み
prelude	前触れ、予兆
penchant	強い好み、強い趣味
skew	斜めの、傾いた
read off	を読み上げる、すらすら読む、声に出して読む
on the run	逃走中の、走っている、逃げ足を使って
ensemble	全体的効果、全般的な影響
remedy	治療法、治療手段
rout	敗走、撤退
saving account	普通預金、通常の預金
resurrection	復活、再生
frost	霜、霜降り
locus	座標、位置情報
fatality	死者、災害、犠牲者
pathology	病理学、疾病学
whirl	渦巻く、旋回する
evasion	回避、避ける
fallacy	誤信、誤解
marrow	骨髄
hiatus	すき間、隙間
convergence	収束、集約
rebuff	拒絶、拒否
coffer	金庫、金箱
cohort	軍隊、仲間、部隊
retaliation	報復、仕返し
hyperbole	誇張、過大評価
bower	木陰、樹下
sanitation	衛生、清潔さ
pilgrimage	巡礼、巡り参り
outskirt	郊外、外れ
wince	ひるむ、後退する
crate	箱、容器
neutron	中性子、ニュートロン
testimonial	証明書、表彰状、認定書
set in	始まる、起こる、発生する
gala	祭り、祭典
provide A with B	AにBを供給する、AにBを提供する
what if	もし、ならば、仮に
clump	木立ち、木々
perimeter	周囲、環境
repository	倉庫、蔵
buffer	緩衝、緩和
courtship	求愛、愛の告白
turn down	を断る、拒む、拒絶する
hand off	を渡す、与える
shackle	手錠、手枷
prank	いたずら、悪ふざけ
shut out	を締め出す、閉め出す
contribute to	に貢献する、助けとなる
look to	を頼りにする、信頼する
antipathy	反感、嫌悪
configure	構成、設定、配置
libel	名誉毀損、中傷
enactment	立法、法制定
accreditation	認定、承認
invader	侵略者、侵入者
caliber	口径、直径
set off	を引き起こす、招く
get by	どうにか切り抜ける、何とか乗り越える
lighthouse	灯台、灯台
give off	を放つ、放出する、発散する
hang around	うろつく、徘徊する、歩き回る
